,urls
303,https://www.pagina12.com.ar/diario/sociedad/3-160022-2011-01-07.html
304,https://www.pagina12.com.ar/diario/sociedad/3-160024-2011-01-07.html
305,https://www.pagina12.com.ar/diario/sociedad/3-160029-2011-01-07.html
306,https://www.pagina12.com.ar/diario/sociedad/3-160030-2011-01-07.html
307,https://www.pagina12.com.ar/diario/sociedad/3-160031-2011-01-07.html
308,https://www.pagina12.com.ar/diario/sociedad/3-160033-2011-01-07.html
309,https://www.pagina12.com.ar/diario/sociedad/3-160023-2011-01-07.html
310,https://www.pagina12.com.ar/diario/sociedad/3-160025-2011-01-07.html
311,https://www.pagina12.com.ar/diario/sociedad/3-160026-2011-01-07.html
312,https://www.pagina12.com.ar/diario/sociedad/3-160027-2011-01-07.html
313,https://www.pagina12.com.ar/diario/sociedad/3-160028-2011-01-07.html
314,https://www.pagina12.com.ar/diario/sociedad/3-160032-2011-01-07.html
315,https://www.pagina12.com.ar/diario/sociedad/3-160034-2011-01-07.html
316,https://www.pagina12.com.ar/diario/sociedad/3-160035-2011-01-07.html
317,https://www.pagina12.com.ar/diario/sociedad/3-160036-2011-01-07.html
318,https://www.pagina12.com.ar/diario/sociedad/3-160037-2011-01-07.html
319,https://www.pagina12.com.ar/diario/cdigital/31-159800-2011-01-07.html
320,https://www.pagina12.com.ar/diario/cdigital/31-159801-2011-01-07.html
321,https://www.pagina12.com.ar/diario/suplementos/espectaculos/6-20423-2011-01-07.html
322,https://www.pagina12.com.ar/diario/suplementos/espectaculos/5-20428-2011-01-07.html
323,https://www.pagina12.com.ar/diario/suplementos/espectaculos/2-20429-2011-01-07.html
324,https://www.pagina12.com.ar/diario/suplementos/espectaculos/18-20430-2011-01-07.html
325,https://www.pagina12.com.ar/diario/suplementos/espectaculos/8-20426-2011-01-07.html
326,https://www.pagina12.com.ar/diario/suplementos/espectaculos/13-20425-2011-01-07.html
327,https://www.pagina12.com.ar/diario/suplementos/espectaculos/8-20427-2011-01-07.html
328,https://www.pagina12.com.ar/diario/suplementos/espectaculos/2-20431-2011-01-07.html
329,https://www.pagina12.com.ar/diario/suplementos/espectaculos/15-20424-2011-01-07.html
330,https://www.pagina12.com.ar/diario/laventana/26-159881-2011-01-07.html
331,https://www.pagina12.com.ar/diario/laventana/26-159879-2011-01-07.html
332,https://www.pagina12.com.ar/diario/elmundo/4-159973-2011-01-07.html
333,https://www.pagina12.com.ar/diario/elmundo/4-159974-2011-01-07.html
334,https://www.pagina12.com.ar/diario/elmundo/4-159975-2011-01-07.html
335,https://www.pagina12.com.ar/diario/elmundo/4-159976-2011-01-07.html
336,https://www.pagina12.com.ar/diario/elmundo/4-159971-2011-01-07.html
337,https://www.pagina12.com.ar/diario/elmundo/4-159984-2011-01-07.html
338,https://www.pagina12.com.ar/diario/elmundo/4-159985-2011-01-07.html
339,https://www.pagina12.com.ar/diario/elmundo/4-159977-2011-01-07.html
340,https://www.pagina12.com.ar/diario/deportes/8-159988-2011-01-07.html
341,https://www.pagina12.com.ar/diario/deportes/8-159989-2011-01-07.html
342,https://www.pagina12.com.ar/diario/deportes/8-159990-2011-01-07.html
343,https://www.pagina12.com.ar/diario/deportes/8-159978-2011-01-07.html
344,https://www.pagina12.com.ar/diario/deportes/8-159979-2011-01-07.html
345,https://www.pagina12.com.ar/diario/deportes/8-159980-2011-01-07.html
346,https://www.pagina12.com.ar/diario/deportes/8-159981-2011-01-07.html
347,https://www.pagina12.com.ar/diario/deportes/8-159982-2011-01-07.html
348,https://www.pagina12.com.ar/diario/deportes/8-159983-2011-01-07.html
349,https://www.pagina12.com.ar/diario/deportes/8-159991-2011-01-07.html
350,https://www.pagina12.com.ar/diario/deportes/8-159992-2011-01-07.html
351,https://www.pagina12.com.ar/diario/deportes/8-159995-2011-01-07.html
352,https://www.pagina12.com.ar/diario/deportes/8-160000-2011-01-07.html
353,https://www.pagina12.com.ar/diario/psicologia/9-159921-2011-01-07.html
354,https://www.pagina12.com.ar/diario/psicologia/9-159953-2011-01-07.html
355,https://www.pagina12.com.ar/diario/verano12/23-160038-2011-01-07.html
356,https://www.pagina12.com.ar/diario/contratapa/13-159987-2011-01-07.html
357,https://www.pagina12.com.ar/diario/pirulo/30-160042-2011-01-07.html
358,https://www.pagina12.com.ar/diario/elpais/1-160096-2011-01-08.html
359,https://www.pagina12.com.ar/diario/elpais/1-160097-2011-01-08.html
360,https://www.pagina12.com.ar/diario/elpais/1-160074-2011-01-08.html
361,https://www.pagina12.com.ar/diario/elpais/1-160076-2011-01-08.html
362,https://www.pagina12.com.ar/diario/elpais/1-160077-2011-01-08.html
363,https://www.pagina12.com.ar/diario/elpais/1-160081-2011-01-08.html
364,https://www.pagina12.com.ar/diario/elpais/1-160084-2011-01-08.html
365,https://www.pagina12.com.ar/diario/elpais/1-160062-2011-01-08.html
